Id,Probability
1,0.08795081794899687
2,0.04294523020775501
3,0.014681941763529058
4,0.07215651523744508
5,0.09539409988805217
6,0.03285426891277825
7,0.05814572195416771
8,0.04918358203997247
9,0.009641403101063
10,0.42380235429940943
11,0.016872980310572328
12,0.021782466050668477
13,0.011308457760064223
14,0.031053035064375522
15,0.042401148669463755
16,0.019306966401473138
17,0.02900997133101644
18,0.01945966036653337
19,0.21400139628871045
20,0.07111800343762269
21,0.01635057251077779
22,0.011543131554235161
23,0.009641403101063
24,0.4967992372485022
25,0.08070564272715078
26,0.021073874670891276
27,0.09299426609536401
28,0.01120476697976325
29,0.07074395540029724
30,0.025548655435214333
31,0.06818963610398862
32,0.012164915835724953
33,0.013043737507127704
34,0.07941926757300588
35,0.2910315466693135
36,0.03544578806824774
37,0.029886654578173633
38,0.014640159644020883
39,0.016872980310572328
40,0.08044596979779553
41,0.17518581264976124
42,0.21310019475041408
43,0.06706171811793525
44,0.00922642745388148
45,0.06107086732277765
46,0.008586748794502415
47,0.008586748794502415
48,0.015199997629518638
49,0.02541804362564295
50,0.03756497455859799
51,0.022725482554581775
52,0.011712082382272743
53,0.01635057251077779
54,0.07374779950979601
55,0.020180078508054353
56,0.08031965201301042
57,0.011802053198510928
58,0.09597437570141554
59,0.11332115284657993
60,0.09194053782320066
61,0.02189137040186693
62,0.016847415167104883
63,0.022641441308641604
64,0.011829713746341447
65,0.022046569227160927
66,0.014179186488923384
67,0.020180078508054353
68,0.1195861692441675
69,0.00922642745388148
70,0.6196327196037871
71,0.02557909848124116
72,0.13407995161133207
73,0.009217236840898943
74,0.1723974142291358
75,0.019514889844985308
76,0.05042722573716335
77,0.040856318901404245
78,0.029123240209711836
79,0.017865616249344112
80,0.020863582354985873
81,0.019799885737513886
82,0.01937633925196969
83,0.021333625700202048
84,0.00938248547893911
85,0.022023961695076696
86,0.021782466050668477
87,0.0677744431900648
88,0.017949871404528913
89,0.02583168975933825
90,0.02186158551111294
91,0.05310855750562621
92,0.01905580799050237
93,0.019317906039079513
94,0.01730857291690751
95,0.009840954275447147
96,0.1897582978229416
97,0.02681609881342987
98,0.0613260872346562
99,0.01893725256673883
100,0.021226402315608916
101,0.08264358166935001
102,0.08575710189146477
103,0.011910290026159637
104,0.08031177564985273
105,0.0716533319101405
106,0.023429800644365922
107,0.3241144362384535
108,0.0106992294318152
109,0.0107860470295348
110,0.01937633925196969
111,0.021045244535532776
112,0.023132038895949097
113,0.026328346343844677
114,0.5289346129926226
115,0.08765934618849727
116,0.013449007206271374
117,0.00990266857933156
118,0.08785117693316837
119,0.016315661930918927
120,0.012989434373228272
121,0.011503348708747026
122,0.06902695791268229
123,0.01760171735266408
124,0.5118354821229097
125,0.01847227920432345
126,0.015292392780309447
127,0.010553852534194701
